,album,track_number,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,popularity,artist
106,Trouble Will Find Me,10,I Need My Girl,spotify:track:50M7nY1oQuNHecs0ahWAtI,245240,0.865,0.52,0.436,0.0651,0.123,-11.508,0.0355,126.053,0.114,0,4,65,The National
107,Trouble Will Find Me,11,Humiliation,spotify:track:7mxVCiILTA07FmLly7xvpm,300733,0.782,0.47,0.7,0.244,0.255,-8.6,0.0425,167.749,0.446,5,4,45,The National
108,Trouble Will Find Me,12,Pink Rabbits,spotify:track:1oNDnnBojo1hkFATFEp1CM,276200,0.799,0.502,0.656,0.109,0.0895,-7.34,0.0435,110.157,0.275,9,4,50,The National
109,Trouble Will Find Me,13,Hard to Find,spotify:track:4hizMtcebzlqsZqp1Y6yJo,253454,0.794,0.488,0.514,0.00508,0.0979,-12.021,0.0309,114.079,0.104,8,5,45,The National
110,High Violet (Expanded Edition),1,Terrible Love,spotify:track:6gIgCC8fMTYW7D3cdrMlIs,279760,0.55,0.304,0.795,0.724,0.118,-6.023,0.0554,79.884,0.35,7,4,31,The National
111,High Violet (Expanded Edition),2,Sorrow,spotify:track:4FEmNwOB0IAWOH83XbphXk,205213,0.172,0.55,0.74,0.663,0.0584,-8.83,0.0274,122.277,0.522,1,4,31,The National
112,High Violet (Expanded Edition),3,Anyone's Ghost,spotify:track:2LFD6akVsc9akkiG9Xq4gg,174173,0.281,0.745,0.789,0.769,0.108,-7.132,0.0917,120.061,0.744,6,4,31,The National
113,High Violet (Expanded Edition),4,Little Faith,spotify:track:5r3OoGdPz9J4tIBTXxrPhu,276640,0.418,0.419,0.725,0.128,0.0776,-7.729,0.0359,149.991,0.338,7,4,29,The National
114,High Violet (Expanded Edition),5,Afraid of Everyone,spotify:track:6N6c4xnRcFYC9bWcN0MkYD,259093,0.504,0.527,0.779,0.803,0.0996,-7.638,0.0508,126.026,0.239,9,4,30,The National
115,High Violet (Expanded Edition),6,Bloodbuzz Ohio,spotify:track:2cRe2J2LFM2adYMgzDEHIK,275933,0.0558,0.402,0.835,0.18,0.103,-6.367,0.043,157.066,0.69,9,4,33,The National
116,High Violet (Expanded Edition),7,Lemonworld,spotify:track:683h9Sp7e9A5PkoR9PNmtj,203733,0.63,0.648,0.745,0.712,0.0901,-8.546,0.0358,126.008,0.589,1,4,30,The National
117,High Violet (Expanded Edition),8,Runaway,spotify:track:3R2xuyZscR55XTO4eWTJZk,333786,0.868,0.583,0.441,0.557,0.117,-10.318,0.0325,135.019,0.343,4,3,30,The National
118,High Violet (Expanded Edition),9,Conversation 16,spotify:track:5enOx9y7vusf73uzLtvf8J,258933,0.608,0.554,0.851,0.912,0.24,-7.61,0.0368,116.978,0.516,11,4,31,The National
119,High Violet (Expanded Edition),10,England,spotify:track:2C0xQEQPtwDc9yhx3UtUsB,340186,0.702,0.49,0.646,0.821,0.106,-8.956,0.04,122.96,0.266,0,4,30,The National
120,High Violet (Expanded Edition),11,Vanderlyle Crybaby Geeks,spotify:track:1cpraaZvYqYIJMY9BbqRnc,252200,0.702,0.464,0.513,0.000115,0.174,-7.683,0.0284,117.935,0.308,9,3,30,The National
121,High Violet (Expanded Edition),1,Terrible Love - Alternate Version,spotify:track:4gZdVhZCISt3jVH7lBxeo4,258519,0.00562,0.397,0.722,0.0284,0.118,-7.599,0.037,81.296,0.403,7,4,43,The National
122,High Violet (Expanded Edition),2,Wake Up Your Saints,spotify:track:1oqerJidiFTCm2L0KyU1AK,254040,0.168,0.526,0.689,0.0371,0.0699,-7.275,0.0304,168.109,0.409,8,4,33,The National
123,High Violet (Expanded Edition),3,You Were a Kindness,spotify:track:4KOWSd4xb8HzQBelJ4gsEL,265560,0.669,0.374,0.563,0.75,0.156,-8.374,0.0291,80.911,0.292,5,4,37,The National
124,High Violet (Expanded Edition),4,Walk Off,spotify:track:2NFFfAx6twAcgTD4YQEY8v,160533,0.929,0.545,0.304,0.00421,0.095,-9.066,0.0317,71.942,0.158,4,5,30,The National
125,High Violet (Expanded Edition),5,Sin-Eaters,spotify:track:0ldxKDjImKMUec96k2YRcs,219386,0.629,0.534,0.447,0.522,0.117,-9.104,0.0304,161.91,0.315,10,3,30,The National
126,High Violet (Expanded Edition),6,Bloodbuzz Ohio - Live on The Current,spotify:track:25y7qMJKfI39jA5XlOQanB,233160,0.918,0.294,0.33,0.522,0.112,-10.751,0.0282,180.884,0.167,9,4,32,The National
127,High Violet (Expanded Edition),7,Anyone's Ghost - Live at Brooklyn Academy of Music,spotify:track:0YlHnZYUeqNpbwvoIp5XAJ,178013,0.00192,0.546,0.945,0.377,0.982,-6.014,0.0486,126.263,0.74,11,4,29,The National
128,High Violet (Expanded Edition),8,England - Live at Brooklyn Academy of Music,spotify:track:1N5mM792BAO2YIOvg91Zvj,326733,0.0339,0.405,0.789,0.855,0.5,-7.03,0.0344,125.344,0.417,3,4,30,The National
129,High Violet,1,Terrible Love,spotify:track:6pUAg3OgdO2kQ4lub9Tb5m,279760,0.55,0.304,0.795,0.724,0.118,-6.023,0.0554,79.884,0.35,7,4,41,The National
130,High Violet,2,Sorrow,spotify:track:30YMGz5pjtRaIjtQcpjn01,205213,0.172,0.55,0.74,0.663,0.0584,-8.83,0.0274,122.277,0.522,1,4,39,The National
131,High Violet,3,Anyone's Ghost,spotify:track:6NrjC9PUZo2do7aLhkf373,174173,0.281,0.745,0.789,0.769,0.108,-7.132,0.0917,120.061,0.744,6,4,35,The National
132,High Violet,4,Little Faith,spotify:track:2kAu35H96f9hG3J96zfQOt,276640,0.418,0.419,0.725,0.128,0.0776,-7.729,0.0359,149.991,0.338,7,4,31,The National
133,High Violet,5,Afraid of Everyone,spotify:track:3PDnTRxUNjxzF1OTd0amO8,259093,0.504,0.527,0.779,0.803,0.0996,-7.638,0.0508,126.026,0.239,9,4,34,The National
134,High Violet,6,Bloodbuzz Ohio,spotify:track:3lnF83kG6ePhTSWRoW62dO,275933,0.0558,0.402,0.835,0.18,0.103,-6.367,0.043,157.066,0.69,9,4,48,The National
135,High Violet,7,Lemonworld,spotify:track:74UpwsEQCA36fE5hUmLGyT,203733,0.63,0.648,0.745,0.712,0.0901,-8.546,0.0358,126.008,0.589,1,4,39,The National
136,High Violet,8,Runaway,spotify:track:7DUwey3WJDVU6IO3ZGqmTC,333786,0.868,0.583,0.441,0.557,0.117,-10.318,0.0325,135.019,0.343,4,3,39,The National
137,High Violet,9,Conversation 16,spotify:track:5M9U88s5o3qNFN8vq2Z9yb,258933,0.608,0.554,0.851,0.912,0.24,-7.61,0.0368,116.978,0.516,11,4,36,The National
138,High Violet,10,England,spotify:track:3KpJsilpYiHAVEMoCKYjFv,340186,0.702,0.49,0.646,0.821,0.106,-8.956,0.04,122.96,0.266,0,4,39,The National
139,High Violet,11,Vanderlyle Crybaby Geeks,spotify:track:7e6b9qDllAbLtEYHo7Stch,252200,0.702,0.464,0.513,0.000115,0.174,-7.683,0.0284,117.935,0.308,9,3,35,The National
140,High Violet,1,Terrible Love,spotify:track:6pUAg3OgdO2kQ4lub9Tb5m,279760,0.55,0.304,0.795,0.724,0.118,-6.023,0.0554,79.884,0.35,7,4,41,The National
141,High Violet,2,Sorrow,spotify:track:30YMGz5pjtRaIjtQcpjn01,205213,0.172,0.55,0.74,0.663,0.0584,-8.83,0.0274,122.277,0.522,1,4,39,The National
142,High Violet,3,Anyone's Ghost,spotify:track:6NrjC9PUZo2do7aLhkf373,174173,0.281,0.745,0.789,0.769,0.108,-7.132,0.0917,120.061,0.744,6,4,35,The National
143,High Violet,4,Little Faith,spotify:track:2kAu35H96f9hG3J96zfQOt,276640,0.418,0.419,0.725,0.128,0.0776,-7.729,0.0359,149.991,0.338,7,4,31,The National
144,High Violet,5,Afraid of Everyone,spotify:track:3PDnTRxUNjxzF1OTd0amO8,259093,0.504,0.527,0.779,0.803,0.0996,-7.638,0.0508,126.026,0.239,9,4,34,The National
145,High Violet,6,Bloodbuzz Ohio,spotify:track:3lnF83kG6ePhTSWRoW62dO,275933,0.0558,0.402,0.835,0.18,0.103,-6.367,0.043,157.066,0.69,9,4,48,The National
146,High Violet,7,Lemonworld,spotify:track:74UpwsEQCA36fE5hUmLGyT,203733,0.63,0.648,0.745,0.712,0.0901,-8.546,0.0358,126.008,0.589,1,4,39,The National
147,High Violet,8,Runaway,spotify:track:7DUwey3WJDVU6IO3ZGqmTC,333786,0.868,0.583,0.441,0.557,0.117,-10.318,0.0325,135.019,0.343,4,3,39,The National
148,High Violet,9,Conversation 16,spotify:track:5M9U88s5o3qNFN8vq2Z9yb,258933,0.608,0.554,0.851,0.912,0.24,-7.61,0.0368,116.978,0.516,11,4,36,The National
149,High Violet,10,England,spotify:track:3KpJsilpYiHAVEMoCKYjFv,340186,0.702,0.49,0.646,0.821,0.106,-8.956,0.04,122.96,0.266,0,4,39,The National
150,High Violet,11,Vanderlyle Crybaby Geeks,spotify:track:7e6b9qDllAbLtEYHo7Stch,252200,0.702,0.464,0.513,0.000115,0.174,-7.683,0.0284,117.935,0.308,9,3,35,The National
151,High Violet,4,Walk Off,spotify:track:2NFFfAx6twAcgTD4YQEY8v,160533,0.929,0.545,0.304,0.00421,0.095,-9.066,0.0317,71.942,0.158,4,5,30,The National
152,High Violet,5,Sin-Eaters,spotify:track:0ldxKDjImKMUec96k2YRcs,219386,0.629,0.534,0.447,0.522,0.117,-9.104,0.0304,161.91,0.315,10,3,30,The National
153,High Violet,1,Terrible Love,spotify:track:6pUAg3OgdO2kQ4lub9Tb5m,279760,0.55,0.304,0.795,0.724,0.118,-6.023,0.0554,79.884,0.35,7,4,41,The National
154,High Violet,2,Sorrow,spotify:track:30YMGz5pjtRaIjtQcpjn01,205213,0.172,0.55,0.74,0.663,0.0584,-8.83,0.0274,122.277,0.522,1,4,39,The National
155,High Violet,3,Anyone's Ghost,spotify:track:6NrjC9PUZo2do7aLhkf373,174173,0.281,0.745,0.789,0.769,0.108,-7.132,0.0917,120.061,0.744,6,4,35,The National
156,High Violet,4,Little Faith,spotify:track:2kAu35H96f9hG3J96zfQOt,276640,0.418,0.419,0.725,0.128,0.0776,-7.729,0.0359,149.991,0.338,7,4,31,The National
157,High Violet,5,Afraid of Everyone,spotify:track:3PDnTRxUNjxzF1OTd0amO8,259093,0.504,0.527,0.779,0.803,0.0996,-7.638,0.0508,126.026,0.239,9,4,34,The National
158,High Violet,6,Bloodbuzz Ohio,spotify:track:3lnF83kG6ePhTSWRoW62dO,275933,0.0558,0.402,0.835,0.18,0.103,-6.367,0.043,157.066,0.69,9,4,48,The National
159,High Violet,7,Lemonworld,spotify:track:74UpwsEQCA36fE5hUmLGyT,203733,0.63,0.648,0.745,0.712,0.0901,-8.546,0.0358,126.008,0.589,1,4,39,The National
160,High Violet,8,Runaway,spotify:track:7DUwey3WJDVU6IO3ZGqmTC,333786,0.868,0.583,0.441,0.557,0.117,-10.318,0.0325,135.019,0.343,4,3,39,The National
161,High Violet,9,Conversation 16,spotify:track:5M9U88s5o3qNFN8vq2Z9yb,258933,0.608,0.554,0.851,0.912,0.24,-7.61,0.0368,116.978,0.516,11,4,36,The National
162,High Violet,10,England,spotify:track:3KpJsilpYiHAVEMoCKYjFv,340186,0.702,0.49,0.646,0.821,0.106,-8.956,0.04,122.96,0.266,0,4,39,The National
163,High Violet,11,Vanderlyle Crybaby Geeks,spotify:track:7e6b9qDllAbLtEYHo7Stch,252200,0.702,0.464,0.513,0.000115,0.174,-7.683,0.0284,117.935,0.308,9,3,35,The National
164,Boxer,1,Fake Empire,spotify:track:7hanhZrUArC9qUerln4jh1,205040,0.143,0.325,0.768,0.909,0.0731,-6.791,0.0334,101.961,0.311,0,3,49,The National
165,Boxer,2,Mistaken for Strangers,spotify:track:2d60QBTD1OIpbb1YxlllM8,210960,0.0532,0.539,0.925,0.87,0.298,-5.303,0.0313,133.008,0.751,5,4,42,The National
166,Boxer,3,Brainy,spotify:track:3H7KmznqFVV51IQEYHyIzz,198133,0.0305,0.505,0.823,0.731,0.104,-8.308,0.0389,169.967,0.762,9,4,35,The National
167,Boxer,4,Squalor Victoria,spotify:track:5yn98oq8iLbdBA31NnLM96,179333,0.179,0.553,0.726,0.883,0.157,-6.778,0.0331,132.989,0.827,4,4,33,The National
168,Boxer,5,Green Gloves,spotify:track:265fydm3D52fct4xN6FcEg,219466,0.682,0.534,0.408,0.891,0.133,-10.448,0.031,153.989,0.394,2,4,35,The National
169,Boxer,6,Slow Show,spotify:track:7s97wgRDIbCJwuD46ySBYs,248266,0.658,0.575,0.695,0.861,0.148,-8.387,0.032,150.023,0.512,4,4,44,The National
170,Boxer,7,Apartment Story,spotify:track:558XMczFvyHKnUzGNqVJbK,212533,0.00837,0.55,0.836,0.758,0.0934,-5.485,0.0362,141.988,0.787,11,4,37,The National
171,Boxer,8,Start a War,spotify:track:0Ud4huDX9IlaKZl4xVj4JR,196400,0.875,0.655,0.445,0.634,0.115,-12.06,0.0274,130.014,0.14,0,4,41,The National
172,Boxer,9,Guest Room,spotify:track:0ZwojfmtTClyD1I6ZCHagP,198933,0.119,0.576,0.625,0.889,0.14,-7.541,0.028,135.95,0.546,9,4,32,The National
173,Boxer,10,Racing Like a Pro,spotify:track:3YLXwNoinuYcHZZDqVBDyv,204240,0.932,0.353,0.39,0.667,0.09,-9.771,0.0293,94.156,0.107,10,4,32,The National
174,Boxer,11,Ada,spotify:track:1lNiYx6MXLqkzbqhzcVIm2,243200,0.641,0.557,0.505,0.883,0.103,-9.617,0.0296,116.942,0.144,7,4,36,The National
175,Boxer,12,Gospel,spotify:track:5SA1pmhLHV02cWxPm1t6q3,269200,0.828,0.575,0.309,0.511,0.107,-12.372,0.0272,83.013,0.22,0,4,39,The National
176,Boxer,1,Fake Empire,spotify:track:7hanhZrUArC9qUerln4jh1,205040,0.143,0.325,0.768,0.909,0.0731,-6.791,0.0334,101.961,0.311,0,3,49,The National
177,Boxer,2,Mistaken for Strangers,spotify:track:2d60QBTD1OIpbb1YxlllM8,210960,0.0532,0.539,0.925,0.87,0.298,-5.303,0.0313,133.008,0.751,5,4,42,The National
178,Boxer,3,Brainy,spotify:track:3H7KmznqFVV51IQEYHyIzz,198133,0.0305,0.505,0.823,0.731,0.104,-8.308,0.0389,169.967,0.762,9,4,35,The National
179,Boxer,4,Squalor Victoria,spotify:track:5yn98oq8iLbdBA31NnLM96,179333,0.179,0.553,0.726,0.883,0.157,-6.778,0.0331,132.989,0.827,4,4,33,The National
180,Boxer,5,Green Gloves,spotify:track:265fydm3D52fct4xN6FcEg,219466,0.682,0.534,0.408,0.891,0.133,-10.448,0.031,153.989,0.394,2,4,35,The National
181,Boxer,6,Slow Show,spotify:track:7s97wgRDIbCJwuD46ySBYs,248266,0.658,0.575,0.695,0.861,0.148,-8.387,0.032,150.023,0.512,4,4,44,The National
182,Boxer,7,Apartment Story,spotify:track:558XMczFvyHKnUzGNqVJbK,212533,0.00837,0.55,0.836,0.758,0.0934,-5.485,0.0362,141.988,0.787,11,4,37,The National
183,Boxer,8,Start a War,spotify:track:0Ud4huDX9IlaKZl4xVj4JR,196400,0.875,0.655,0.445,0.634,0.115,-12.06,0.0274,130.014,0.14,0,4,41,The National
184,Boxer,9,Guest Room,spotify:track:0ZwojfmtTClyD1I6ZCHagP,198933,0.119,0.576,0.625,0.889,0.14,-7.541,0.028,135.95,0.546,9,4,32,The National
185,Boxer,10,Racing Like a Pro,spotify:track:3YLXwNoinuYcHZZDqVBDyv,204240,0.932,0.353,0.39,0.667,0.09,-9.771,0.0293,94.156,0.107,10,4,32,The National
186,Boxer,11,Ada,spotify:track:1lNiYx6MXLqkzbqhzcVIm2,243200,0.641,0.557,0.505,0.883,0.103,-9.617,0.0296,116.942,0.144,7,4,36,The National
187,Boxer,12,Gospel,spotify:track:5SA1pmhLHV02cWxPm1t6q3,269200,0.828,0.575,0.309,0.511,0.107,-12.372,0.0272,83.013,0.22,0,4,39,The National
188,Alligator,1,Secret Meeting,spotify:track:6QzNlWknrAEOYPNNAFY1x5,224773,0.375,0.622,0.626,0.00091,0.265,-5.553,0.0365,111.957,0.629,2,4,46,The National
189,Alligator,2,Karen,spotify:track:0t8exZZoczfYkgMT9XQSsw,239120,0.271,0.659,0.622,0.805,0.0873,-6.526,0.0243,97.983,0.766,0,4,37,The National
190,Alligator,3,Lit Up,spotify:track:7BD42L24drFQlQFvMArkbP,175026,0.00282,0.428,0.873,0.0411,0.0735,-5.101,0.0382,149.852,0.598,4,4,42,The National
191,Alligator,4,Looking for Astronauts,spotify:track:3tMfguPHt0N194ZVMDTdfp,203160,0.0672,0.499,0.859,0.0777,0.205,-6.465,0.0349,138.564,0.889,4,4,35,The National
192,Alligator,5,Daughters of the Soho Riots,spotify:track:2LrR7LR3weKEcmpMXAiA6Y,238573,0.645,0.563,0.444,0.712,0.125,-12.543,0.0314,85.999,0.309,9,4,37,The National
193,Alligator,6,Baby We'll Be Fine,spotify:track:4w9l5SLRm9BY3kyeECCpcA,201533,0.333,0.46,0.829,0.0748,0.035,-6.948,0.0388,125.112,0.404,4,4,36,The National
194,Alligator,7,Friend of Mine,spotify:track:1EH0iG6Wtyur2UjnHX2vBg,205253,0.343,0.655,0.935,0.013,0.144,-5.526,0.0426,127.44,0.815,0,4,33,The National
195,Alligator,8,Val Jester,spotify:track:6yPYdOfxEbfI9FefDkHWVr,180653,0.713,0.473,0.457,0.876,0.0819,-11.373,0.0275,114.333,0.0618,11,3,32,The National
196,Alligator,9,All the Wine,spotify:track:3ozTt0Quc33a8ZyD8a44xC,195320,0.000744,0.604,0.853,0.0534,0.0995,-4.84,0.0265,119.996,0.635,0,4,44,The National
197,Alligator,10,Abel,spotify:track:0XKXeiNCDf9jlK1YmkM1cX,217026,0.000348,0.342,0.944,0.256,0.0848,-3.873,0.0489,158.807,0.413,0,4,44,The National
198,Alligator,11,The Geese of Beverly Road,spotify:track:6WunHEoxTFHMXeWYKrRhew,296786,0.0502,0.538,0.801,0.174,0.11,-7.026,0.0298,107.558,0.361,5,4,36,The National
199,Alligator,12,City Middle,spotify:track:04I3nDxLwzPTNVN3m0FfaH,267586,0.87,0.529,0.508,0.0318,0.141,-8.655,0.0379,141.926,0.379,7,3,34,The National
200,Alligator,13,Mr. November,spotify:track:6GmoLmBISzLomNjM18dFgz,240493,0.0234,0.416,0.879,1.74e-06,0.183,-4.187,0.0453,146.166,0.706,7,4,48,The National
201,Sad Songs for Dirty Lovers,1,Cardinal Song,spotify:track:1PhMk1GwYBHWXyL46Sb1Ta,378040,0.812,0.427,0.345,0.699,0.119,-11.323,0.0347,119.984,0.119,2,4,29,The National
202,Sad Songs for Dirty Lovers,2,Slipping Husband,spotify:track:66nE1YHW9n62hohhsHHM0P,202746,0.0299,0.616,0.606,0.368,0.19,-7.772,0.0318,130.106,0.512,0,4,29,The National
203,Sad Songs for Dirty Lovers,3,90-Mile Water Wall,spotify:track:2Vyj8Vwg2Y9rK2rNtAyrAZ,224360,0.807,0.477,0.468,0.118,0.104,-8.177,0.027,103.056,0.102,4,4,31,The National
204,Sad Songs for Dirty Lovers,4,It Never Happened,spotify:track:7timozTlGw1k7yyZH4RTP3,277320,0.0893,0.394,0.615,0.666,0.256,-8.351,0.0289,133.24,0.195,7,4,40,The National
205,Sad Songs for Dirty Lovers,5,Murder Me Rachael,spotify:track:1IBM6aORo9icwQklXbx1fl,225666,0.000799,0.192,0.706,0.791,0.106,-4.717,0.0461,148.271,0.181,7,4,27,The National
206,Sad Songs for Dirty Lovers,6,Thirsty,spotify:track:5zim6YZrYRSHI7pnFnwr1y,228320,0.206,0.522,0.381,0.252,0.256,-8.664,0.0268,130.93,0.492,7,4,26,The National
207,Sad Songs for Dirty Lovers,7,Available,spotify:track:4rzAsxogB0Y1mEUapp6Y4P,200026,0.0015,0.307,0.87,0.88,0.234,-5.307,0.065,142.853,0.172,1,4,29,The National
208,Sad Songs for Dirty Lovers,8,Sugar Wife,spotify:track:5KVwtZRtEqKzGhf77r7e7h,141613,0.36,0.701,0.521,0.524,0.0857,-9.955,0.0335,110.095,0.843,7,4,24,The National
209,Sad Songs for Dirty Lovers,9,Trophy Wife,spotify:track:2sw8M0BXlblXp92SVUXnnV,212906,0.174,0.627,0.652,0.351,0.107,-9.731,0.0272,123.581,0.861,0,4,25,The National
210,Sad Songs for Dirty Lovers,10,Fashion Coat,spotify:track:3miRHVZERVUAqVJUcELBbq,122666,0.146,0.651,0.761,0.000206,0.175,-6.512,0.0569,125.537,0.648,4,4,26,The National
211,Sad Songs for Dirty Lovers,11,Patterns of Fairytales,spotify:track:50GPorSWe4YENEQgrUowVh,223826,0.797,0.576,0.48,0.787,0.133,-9.619,0.0357,155.181,0.296,0,4,24,The National
212,Sad Songs for Dirty Lovers,12,Lucky You,spotify:track:19GDzR3zE3TekzL8FwmPUy,262160,0.679,0.607,0.516,0.821,0.106,-8.939,0.0259,138.183,0.112,4,4,45,The National
213,The National (2021 Remaster),1,Beautiful Head - 2021 Remaster,spotify:track:5n7ZqHJo1d3ensM9ovgpF4,188760,0.358,0.583,0.637,0.0628,0.0962,-9.377,0.0426,147.962,0.561,4,4,21,The National
214,The National (2021 Remaster),2,Cold Girl Fever - 2021 Remaster,spotify:track:4MfVzLDvwcaAAtYhRfPx8v,246573,0.688,0.793,0.406,0.773,0.102,-11.319,0.0429,118.006,0.582,9,4,21,The National
215,The National (2021 Remaster),3,The Perfect Song - 2021 Remaster,spotify:track:4yeD1Ppy2dKmOkVNJpuRrj,195426,0.00923,0.554,0.509,0.629,0.0848,-9.173,0.034,125.728,0.452,7,4,21,The National
216,The National (2021 Remaster),4,American Mary - 2021 Remaster,spotify:track:0I5erZXdbZS3uSYuftoi2d,242906,0.599,0.629,0.306,0.00239,0.105,-11.294,0.0317,135.667,0.336,7,4,20,The National
217,The National (2021 Remaster),5,Son - 2021 Remaster,spotify:track:4eSWpsKqLzd8eKEkQBb8oK,319480,0.247,0.762,0.492,0.665,0.0708,-10.97,0.0301,125.013,0.329,0,4,19,The National
218,The National (2021 Remaster),6,Pay for Me - 2021 Remaster,spotify:track:3EMI7Ynj3Ns3wS5StA0qM9,202680,0.00099,0.671,0.734,0.0791,0.141,-7.901,0.0396,122.228,0.439,7,4,19,The National
219,The National (2021 Remaster),7,Bitters & Absolut - 2021 Remaster,spotify:track:3naQRfduG9PCzvaM44vXGV,240280,0.387,0.723,0.458,0.375,0.278,-12.682,0.034,123.759,0.424,7,4,18,The National
220,The National (2021 Remaster),8,John's Star - 2021 Remaster,spotify:track:46JPqODp0hNXQUPIHX0D3b,184746,0.043,0.589,0.638,0.127,0.108,-8.665,0.0322,130.236,0.77,1,4,18,The National
221,The National (2021 Remaster),9,Watching You Well - 2021 Remaster,spotify:track:514oaXWEnrPR1inHqJciTv,182373,0.434,0.573,0.31,0.219,0.209,-12.773,0.0272,78.672,0.23,0,4,17,The National
222,The National (2021 Remaster),10,Theory of the Crows - 2021 Remaster,spotify:track:6OE2HDjRDrq3qZ6TOwccKH,276440,0.0274,0.497,0.369,0.674,0.115,-11.022,0.0309,133.986,0.123,2,3,18,The National
223,The National (2021 Remaster),11,29 Years - 2021 Remaster,spotify:track:7BeCxon082GMTXsHjzx7MS,170840,0.888,0.509,0.288,0.461,0.322,-22.773,0.151,140.626,0.123,0,1,18,The National
224,The National (2021 Remaster),12,Anna Freud - 2021 Remaster,spotify:track:0Te5iZlln4yKtcTHbhCIsO,187773,0.585,0.853,0.221,0.473,0.11,-13.844,0.049,100.885,0.552,11,4,17,The National
225,The National,1,Beautiful Head,spotify:track:5qjxbESLSYtV20JKeiwsaZ,188400,0.547,0.564,0.667,0.043,0.0959,-8.774,0.0529,148.091,0.546,4,4,27,The National
226,The National,2,Cold Girl Fever,spotify:track:77JYrFDjiqBSUQ6qMLfhaL,246000,0.756,0.788,0.392,0.759,0.107,-11.739,0.0432,118.013,0.573,9,4,40,The National
227,The National,3,The Perfect Song,spotify:track:1cZnwa4gquHoJ6jTIAYAkg,195200,0.0268,0.541,0.521,0.281,0.0913,-9.377,0.0313,125.675,0.48,7,4,28,The National
228,The National,4,American Mary,spotify:track:1IGBD3TlzViHUHb1FKeEHz,242893,0.563,0.642,0.318,0.00643,0.0939,-10.876,0.0268,135.867,0.336,7,4,26,The National
229,The National,5,Son,spotify:track:2qNifuc2Z75HavDfBpCuGf,319733,0.0532,0.762,0.48,0.693,0.08,-10.709,0.0303,125.025,0.305,0,4,25,The National
230,The National,6,Pay For Me,spotify:track:6IEEpgL2pWzEqeJU7DdUD5,202640,0.000312,0.645,0.72,0.116,0.0723,-8.094,0.0361,122.244,0.388,7,4,25,The National
231,The National,7,Bitters & Absolut,spotify:track:4GbOdlWpwsQxoUboLNqshV,240026,0.405,0.725,0.455,0.516,0.309,-13.362,0.0357,123.799,0.352,7,4,25,The National
232,The National,8,John's Star,spotify:track:6B0vA1VobjedKbjSkTY1tk,184866,0.0302,0.578,0.689,0.0394,0.111,-8.34,0.0303,130.267,0.751,1,4,23,The National
233,The National,9,Watching You Well,spotify:track:0hdDBAtFnekO78kmOGlcrc,182440,0.307,0.563,0.334,0.172,0.243,-11.833,0.0253,79.102,0.265,0,4,23,The National
234,The National,10,Theory of the Crows,spotify:track:6DrpiNrqgOgdcyNa51CqVd,276600,0.0026,0.459,0.426,0.446,0.108,-8.983,0.0281,135.151,0.172,2,3,24,The National
235,The National,11,29 Years,spotify:track:3IifrPET3e7aWXT3FN4Ij6,170493,0.923,0.525,0.306,0.191,0.368,-21.498,0.206,135.688,0.0854,0,1,25,The National
236,The National,12,Anna Freud,spotify:track:7JlJGvQ4X3wFl5wn54U5hC,187266,0.457,0.854,0.267,0.404,0.11,-12.181,0.0446,100.919,0.55,9,4,23,The National
